,Date,Name,Price,RSI,MarketCap,Volume,URL
112,20200820,iot-chain,0.147782,48.492527748777384,"$13,887,697 USD","$5,034,000 USD",https://coinmarketcap.com/currencies/iot-chain/historical-data/?start=20200501&end=20200820
110,20200820,dragonchain,0.07888200000000001,48.73147923850574,"$26,343,155 USD","$206,625 USD",https://coinmarketcap.com/currencies/dragonchain/historical-data/?start=20200501&end=20200820
184,20200820,metadium,0.009373999999999999,48.932490807009806,"$11,549,934 USD","$645,039 USD",https://coinmarketcap.com/currencies/metadium/historical-data/?start=20200501&end=20200820
104,20200820,presearch,0.015487,49.050613259730824,"$2,701,894 USD","$114,926 USD",https://coinmarketcap.com/currencies/presearch/historical-data/?start=20200501&end=20200820
165,20200820,wirex-token,0.010626,49.06730427853579,"$28,541,880 USD","$471,298 USD",https://coinmarketcap.com/currencies/wirex-token/historical-data/?start=20200501&end=20200820
45,20200820,zcash,79.53,49.174660675693936,"$783,639,684 USD","$337,399,548 USD",https://coinmarketcap.com/currencies/zcash/historical-data/?start=20200501&end=20200820
125,20200820,susd,1.01,49.40752562937392,"$22,595,742 USD","$2,654,124 USD",https://coinmarketcap.com/currencies/susd/historical-data/?start=20200501&end=20200820
108,20200820,fortknoxster,0.003048,49.42563353266727,"$450,265 USD","$92,098.51 USD",https://coinmarketcap.com/currencies/fortknoxster/historical-data/?start=20200501&end=20200820
76,20200820,swissborg,0.112829,49.524624539173196,"$81,195,335 USD","$884,571 USD",https://coinmarketcap.com/currencies/swissborg/historical-data/?start=20200501&end=20200820
202,20200820,ethereum-classic,6.98,50.49047636801896,"$824,463,216 USD","$541,190,194 USD",https://coinmarketcap.com/currencies/ethereum-classic/historical-data/?start=20200501&end=20200820
64,20200820,v-systems,0.028656,50.55999000688513,"$62,519,918 USD","$3,026,994 USD",https://coinmarketcap.com/currencies/v-systems/historical-data/?start=20200501&end=20200820
154,20200820,orion-protocol,3.77,50.60853276517982,"$14,704,468 USD","$4,897,545 USD",https://coinmarketcap.com/currencies/orion-protocol/historical-data/?start=20200501&end=20200820
124,20200820,arcs,0.302644,50.61915342427407,No Data,"$209,009 USD",https://coinmarketcap.com/currencies/arcs/historical-data/?start=20200501&end=20200820
42,20200820,pundi-x,0.00021099999999999998,50.97727130894249,"$49,483,032 USD","$2,063,416 USD",https://coinmarketcap.com/currencies/pundi-x/historical-data/?start=20200501&end=20200820
21,20200820,nuls,0.501892,51.07070687796428,"$43,945,302 USD","$21,581,613 USD",https://coinmarketcap.com/currencies/nuls/historical-data/?start=20200501&end=20200820
70,20200820,crpt,0.317494,51.47190440696688,"$32,365,729 USD","$202,416 USD",https://coinmarketcap.com/currencies/crpt/historical-data/?start=20200501&end=20200820
72,20200820,zilliqa,0.022747,51.556747951862675,"$243,652,999 USD","$43,342,226 USD",https://coinmarketcap.com/currencies/zilliqa/historical-data/?start=20200501&end=20200820
89,20200820,travala,1.59,51.64167557724963,"$60,730,925 USD","$2,223,997 USD",https://coinmarketcap.com/currencies/travala/historical-data/?start=20200501&end=20200820
60,20200820,alchemy,1.1,51.728186709237576,No Data,"$19,199.84 USD",https://coinmarketcap.com/currencies/alchemy/historical-data/?start=20200501&end=20200820
98,20200820,bytom,0.100856,51.969158754473426,"$146,556,773 USD","$30,729,162 USD",https://coinmarketcap.com/currencies/bytom/historical-data/?start=20200501&end=20200820
130,20200820,grin,0.5654859999999999,51.997656302035395,"$29,800,908 USD","$7,427,404 USD",https://coinmarketcap.com/currencies/grin/historical-data/?start=20200501&end=20200820
158,20200820,xyo,0.000625,52.18550918574797,"$7,777,732 USD","$58,498.57 USD",https://coinmarketcap.com/currencies/xyo/historical-data/?start=20200501&end=20200820
190,20200820,metahash,0.00486,52.23919243213638,"$9,736,926 USD","$2,633,744 USD",https://coinmarketcap.com/currencies/metahash/historical-data/?start=20200501&end=20200820
153,20200820,solve,0.130661,52.297680445012865,"$44,485,759 USD","$2,110,709 USD",https://coinmarketcap.com/currencies/solve/historical-data/?start=20200501&end=20200820
192,20200820,wax,0.053132000000000006,52.321092137578994,"$68,263,494 USD","$3,245,420 USD",https://coinmarketcap.com/currencies/wax/historical-data/?start=20200501&end=20200820
20,20200820,adbank,0.002729,52.48419824596899,"$1,816,827 USD","$144,205 USD",https://coinmarketcap.com/currencies/adbank/historical-data/?start=20200501&end=20200820
78,20200820,merculet,0.000625,52.772920415496046,"$2,271,750 USD","$98,921.54 USD",https://coinmarketcap.com/currencies/merculet/historical-data/?start=20200501&end=20200820
196,20200820,chromia,0.066235,52.80875503564547,"$27,205,324 USD","$4,624,498 USD",https://coinmarketcap.com/currencies/chromia/historical-data/?start=20200501&end=20200820
